ID,User,Tweet_text,Likes,Retweets
1648286138275188739,Niiyah3,"RT @Sachkebab: When my daughter is old enough to go out, she will always have cab money and be able to find her yard or book a hotel. She c…",0,62
1648286135679070211,KietzMotivation,"Random People - Turn Yourself Into Anime 🤔💭 - Part 26

#kietzmotivation #kietz #motivation #success #inspiration #hardwork #mindset #discipline  #fistbump #fistbumping #chocolate #turnyourselfintoanime #animelookalike #anime #cosplayer #cosplay #mytodaysactivity #mytodaystory https://t.co/IyiHng8qlD",0,0
1648286130888925186,_savage_nymph_,RT @niggaolas: Mind you Janet Jackson has influenced kpop artists like BoA and many other kpop artists for you to say random sht like this…,0,552
1648286129618055168,lrubio19783,"RT @JoelOsteen: Stay open. God’s ways are not our ways. Sometimes the brook will dry up, sometimes the manna will cease, sometimes someone…",0,880
1648286128951238659,LibLabConman,"@Lowesmore @tomhfh Having spent of time doing my own reviews of articles from.across.the world, science papers, opinion pieces and opposing pieces , if I placed it all into a blog you'd just dismiss it as a random weirdo.
So why bother?
Its my conclusions 
I have 11 patents in chemicals.",0,0
1648286127265132547,Appanna52877653,@therantinggola Godi media talks about incidents which have happened and GADDAR media is interested in some random baseless politically motivated statements.,0,0
1648286125574995972,nurraa23,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286120331862016,MrBURNSone,My MacBook just cut off at random and I was in the middle of something important 🤦🏽‍♂️,0,0
1648286119476248576,Pelzalonge,"RT @Pelux_Apex: Good morning ❤️
If you want consistency, show up every day.
Everything depends on you, just do it.
Meanwhile 
I'll be givin…",0,38
1648286118528393216,joshuahammy1,RT @httptrashzy: me when I'm cleaning my room then suddenly got distracted with random things I found: https://t.co/C0A0NJaGsG,0,29133
1648286118146605058,Daemontargari,RT @JDizzah: Just a random @oogyNFT blessing your timeline 😌 https://t.co/HP1imQE6fR,0,4
1648286105546965000,TMIWITW,It’s ok that men are displacing and erasing females because random twitter folk don’t know the names of other swimmer. Riley Gaines. https://t.co/Nlf2c3d8V6,0,0
1648286104917770241,MC_Brooks,RT @MichelleHux: AI rap covers are just another example of people underestimating the skill it takes to do black shit - specifically rap. j…,0,510
1648286104557158403,sangwoonation,"RT @Jillyacett_: ‼️LOUIS VUITTON SNEAKERS GIVEAWAY‼️ 
VOTE FOR JAY CHANG until April 18-20

🚩One random winner will be selected of a never…",0,250
1648286103076470786,Oxfree_tag,"RT @ScottLEOWarrior: I will send one random follower $100 in 24hrs all you have to do is RT and be following myself &amp; @alaska_game

RT thei…",0,5780
1648286101549850627,AhmadAh1402,"RT @Metavers_space_: Total Airdrop Pool is 50,000 $FX1 Token 🎉🎉

🏅Top 1-30 &amp; 2000 Random Winner🏆

To Enter ⤵️
✅ Follow @FX1Sports
✅ Like Rt…",0,7943
1648286100719386626,Lucianobrock,"RT @jaychangss: #JAYCHANG GIVEAWAY

3x unboxed Stray Kids Oddinary Album (Random Ver.) 

🇮🇩 ID ADDRESS ONLY 
❗️Vote for JAY on BP for a cha…",0,216
1648286098693705730,pastiberkah_,"RT @bluechip_io: 💵50 USDT= 💙🔁👤?

Yep! BlueChip is giving away 50 USDT💰 

How?
💙Like this tweet
🔁retweet it
👤Subscribe to @bluechip_io

Winn…",0,2211
1648286097888141314,Random_Dude_K,"RT @UtdPlug: 🚨 Brentford defender Ben Mee on who’s better between Vidic and Van Dijk:

“Different players... But I think Vidic was a better…",0,456
1648286097460576257,OZPAKCRIC,@UnKnowninsan0 Just a random picture hai,0,0
1648286097179279363,BLC_Tampa,"Sensor value greater than &lt;template state sensor.random_sensor=9; maximum=20, icon=mdi:hanger, minimum=0, friendly_name=Random Sensor @ 2023-04-18T07:23:23.591787-04:00&gt;",0,0
1648286096277532672,Dharasimi20,"RT @Starr_gael: Two $25,000 Evaluation Account GIVEAWAY to 2 random followers. 

Courtesy of  @BlueGuardiancom 

Criteria to Win ⬇️

•You M…",0,7
1648286089801609218,threulsen2961,@DieselBABE20 Right lol. I’ll sometime get random DM’s and my only question is “how much are you going to ask me to send you?”,0,0
1648286088723681280,ViswaVc,RT @AdityaRajKaul: New York Times preaches India on Extrajudicial Violence. Coming from America where Gun Violence tops in the global democ…,0,1026
1648286088501551104,nanadoongie1308,"✨️OPEN JASTIP NCT CCOMAZ GROCERY STORE MD ✨️

💚 RANDOM TRADING CARD SET [Blue Ver.]
💚 RANDOM TRADING CARD SET [Red Ver.]
💚 NCT CCOMAZ BARCODE STICKER
💚 LUGGAGE STICKER 

Visit : 19 April 2023
✉️ DM for order https://t.co/cjyeEK61ji",0,0
1648286084743438338,nancyhinaka,"RT @aeswhat: 🍰 free claim !

₱0 + pf + sf

random tcs per random claimer [ 2:1 ]

     % rt &amp; like
     % mbf 
     % x sensi

will end on…",0,2
1648286084344827904,Tsuma_Natsumi,@Idiot_Of_Random Morning morning,0,0
1648286084327956481,babievminkook,"RT @lmarisunl: ✨D-DAY Giveaway✨

Includes: 1 Sealed D-DAY album (random) from Target, and 1 Shooky Tiger Cosmetic pouch. 

RT to enter

Ope…",0,1044
1648286083598229506,indiegamebotbot,"RT @DanArnoldMist: Random shot from one of the procedural worlds in Under a Rock! More on our Discord! https://t.co/tX9QGAyujj

#gamedev #i…",0,2
1648286083040542720,shuarmaaaa,"RT @tokkibunbunxx: wts lfb ph

★ random pc / photocard collection 
     - please see price list below (*˘︶˘*)

— payo or 3 days reservation…",0,2
1648286080670785536,mahaemala,"RT @pinkbloodunnie: [SEALED CANDY ALBUM GIVEAWAY] 💚

- MBF, RT + like this tweet AND my pinned tweet

Winner decided by wheel of names / ra…",0,145
1648286080557277184,Biggurlbils,RT @_scooscoo: One random Edo girl from Kano😍❤️ https://t.co/kSt6GtTrpn,0,5
1648286080163098633,YoongiisHands,"RT @lmarisunl: ✨D-DAY Giveaway✨

Includes: 1 Sealed D-DAY album (random) from Target, and 1 Shooky Tiger Cosmetic pouch. 

RT to enter

Ope…",0,1044
1648286078846255106,youngexwife_,RT @liltonks: @reyalorian both happy n sad abt this news. happy coz ik hbo would’ve forced weird n random nudity somehow like jeff saying “…,0,1
1648286077830963200,TequilaVolare,@suzyemre Good rule of thumb when looking at statistics is are they expressed as percentages or raw data. I can take any set of random data to support a position using percentages. For crime if city had 1 homicide last year but 2 this year that is a 100% increase and looks bad.,0,0
1648286071875153921,uzunoyoqlar,"RT @easyfiesi: 🎁New #Giveaway🎁 You have the Chance to win 1 Random Premium Steam Key! #Steam #PC 

For Enter the Giveaway pls:  

1. Follow…",0,8
